measurement_date,dam,dam_name,catchment_area,capacity,gauge_ref,average_water_level,average_normalised_height,average_volume,average_percent_full,maximum_water_level,maximum_normalised_height,maximum_volume,maximum_percent_full,minimum_water_level,minimum_normalised_height,minimum_volume,minimum_percent_full
21/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6
20/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6
19/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6
18/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6
17/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6,37.55,0.9516,178134.5,76.6
16/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.56,0.9521,178721.18,76.85,37.57,0.9525,179112.3,77.02,37.55,0.9516,178134.5,76.6
15/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.57,0.9524,178972.61,76.96,37.57,0.9525,179112.3,77.02,37.55,0.9516,178134.5,76.6
14/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.62,0.9547,181366.35,77.99,37.75,0.9614,188128.5,80.9,37.57,0.9525,179112.3,77.02
13/03/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.57,0.9527,179307.86,77.1,37.59,0.9535,180090.1,77.44,37.55,0.9516,178134.5,76.6
12/3/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.58,0.953,179601.2,77.23,37.59,0.9535,180090.1,77.44,37.57,0.9525,179112.3,77.02
11/3/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.59,0.9535,180090.1,77.44,37.59,0.9535,180090.1,77.44,37.59,0.9535,180090.1,77.44
10/3/2021,ROSS,Ross River Dam,750,233187,Australian Height Datum,37.59,0.9535,180090.1,77.44,37.59,0.9535,180090.1,77.44,37.59,0.9535,180090.1,77.44
